id, partner_code, name, description, code
1, pt1, Prize name 00 de, Prize description de, pr00
2, pt4, Prize name 01 de, Prize description de, pr01
3, pt1, Prize name 02 de, Prize description de, pr02
4, pt4, Prize name 03 de, Prize description de, pr03
5, pt1, Prize name 04 de, Prize description de, pr04
6, pt3, Prize name 05 de, Prize description de, pr05
7, pt3, Prize name 06 de, Prize description de, pr06
8, pt5, Prize name 07 de, Prize description de, pr07
9, pt1, Prize name 08 de, Prize description de, pr08
10, pt2, Prize name 09 de, Prize description de, pr09
11, pt1, Prize name 10 de, Prize description de, pr10
12, pt2, Prize name 11 de, Prize description de, pr11
13, pt3, Prize name 12 de, Prize description de, pr12
14, pt2, Prize name 13 de, Prize description de, pr13
15, pt5, Prize name 14 de, Prize description de, pr14
16, pt2, Prize name 15 de, Prize description de, pr15
17, pt5, Prize name 16 de, Prize description de, pr16
18, pt1, Prize name 17 de, Prize description de, pr17
19, pt5, Prize name 18 de, Prize description de, pr18
20, pt3, Prize name 19 de, Prize description de, pr19
21, pt3, Prize name 20 de, Prize description de, pr20
22, pt1, Prize name 21 de, Prize description de, pr21
23, pt5, Prize name 22 de, Prize description de, pr22
24, pt5, Prize name 23 de, Prize description de, pr23
25, pt3, Prize name 24 de, Prize description de, pr24
26, pt5, Prize name 25 de, Prize description de, pr25
27, pt4, Prize name 26 de, Prize description de, pr26
28, pt2, Prize name 27 de, Prize description de, pr27
29, pt2, Prize name 28 de, Prize description de, pr28
30, pt2, Prize name 29 de, Prize description de, pr29
31, pt2, Prize name 30 de, Prize description de, pr30
32, pt1, Prize name 31 de, Prize description de, pr31
33, pt4, Prize name 32 de, Prize description de, pr32
34, pt1, Prize name 33 de, Prize description de, pr33
35, pt1, Prize name 34 de, Prize description de, pr34
36, pt4, Prize name 35 de, Prize description de, pr35
37, pt4, Prize name 36 de, Prize description de, pr36
38, pt1, Prize name 37 de, Prize description de, pr37
39, pt1, Prize name 38 de, Prize description de, pr38
40, pt4, Prize name 39 de, Prize description de, pr39
41, pt2, Prize name 40 de, Prize description de, pr40
42, pt1, Prize name 41 de, Prize description de, pr41
43, pt1, Prize name 42 de, Prize description de, pr42
44, pt1, Prize name 43 de, Prize description de, pr43
45, pt2, Prize name 44 de, Prize description de, pr44
46, pt2, Prize name 45 de, Prize description de, pr45
47, pt4, Prize name 46 de, Prize description de, pr46
48, pt2, Prize name 47 de, Prize description de, pr47
49, pt1, Prize name 48 de, Prize description de, pr48
50, pt1, Prize name 49 de, Prize description de, pr49
51, pt4, Prize name 50 de, Prize description de, pr50
52, pt2, Prize name 51 de, Prize description de, pr51
53, pt1, Prize name 52 de, Prize description de, pr52
54, pt4, Prize name 53 de, Prize description de, pr53
55, pt2, Prize name 54 de, Prize description de, pr54
56, pt3, Prize name 55 de, Prize description de, pr55
57, pt5, Prize name 56 de, Prize description de, pr56
58, pt3, Prize name 57 de, Prize description de, pr57
59, pt3, Prize name 58 de, Prize description de, pr58
60, pt3, Prize name 59 de, Prize description de, pr59
61, pt4, Prize name 60 de, Prize description de, pr60
62, pt2, Prize name 61 de, Prize description de, pr61
63, pt2, Prize name 62 de, Prize description de, pr62
64, pt2, Prize name 63 de, Prize description de, pr63
65, pt3, Prize name 64 de, Prize description de, pr64
66, pt5, Prize name 65 de, Prize description de, pr65
67, pt1, Prize name 66 de, Prize description de, pr66
68, pt5, Prize name 67 de, Prize description de, pr67
69, pt3, Prize name 68 de, Prize description de, pr68
70, pt1, Prize name 69 de, Prize description de, pr69
71, pt2, Prize name 70 de, Prize description de, pr70
72, pt4, Prize name 71 de, Prize description de, pr71
73, pt2, Prize name 72 de, Prize description de, pr72
74, pt1, Prize name 73 de, Prize description de, pr73
75, pt1, Prize name 74 de, Prize description de, pr74
76, pt4, Prize name 75 de, Prize description de, pr75
77, pt1, Prize name 76 de, Prize description de, pr76
78, pt1, Prize name 77 de, Prize description de, pr77
79, pt1, Prize name 78 de, Prize description de, pr78
80, pt2, Prize name 79 de, Prize description de, pr79
81, pt4, Prize name 80 de, Prize description de, pr80
82, pt5, Prize name 81 de, Prize description de, pr81
83, pt2, Prize name 82 de, Prize description de, pr82
84, pt5, Prize name 83 de, Prize description de, pr83
85, pt1, Prize name 84 de, Prize description de, pr84
86, pt4, Prize name 85 de, Prize description de, pr85
87, pt4, Prize name 86 de, Prize description de, pr86
88, pt2, Prize name 87 de, Prize description de, pr87
89, pt3, Prize name 88 de, Prize description de, pr88
90, pt2, Prize name 89 de, Prize description de, pr89
91, pt5, Prize name 90 de, Prize description de, pr90
92, pt2, Prize name 91 de, Prize description de, pr91
93, pt2, Prize name 92 de, Prize description de, pr92
94, pt4, Prize name 93 de, Prize description de, pr93
95, pt3, Prize name 94 de, Prize description de, pr94
96, pt2, Prize name 95 de, Prize description de, pr95
97, pt5, Prize name 96 de, Prize description de, pr96
98, pt2, Prize name 97 de, Prize description de, pr97
99, pt3, Prize name 98 de, Prize description de, pr98
100, pt1, Prize name 99 de, Prize description de, pr99
