id, partner_code, name, description, code
1, pt1, Prize name 00 en, Prize description en, pr00
2, pt4, Prize name 01 en, Prize description en, pr01
3, pt1, Prize name 02 en, Prize description en, pr02
4, pt4, Prize name 03 en, Prize description en, pr03
5, pt1, Prize name 04 en, Prize description en, pr04
6, pt3, Prize name 05 en, Prize description en, pr05
7, pt3, Prize name 06 en, Prize description en, pr06
8, pt5, Prize name 07 en, Prize description en, pr07
9, pt1, Prize name 08 en, Prize description en, pr08
10, pt2, Prize name 09 en, Prize description en, pr09
11, pt1, Prize name 10 en, Prize description en, pr10
12, pt2, Prize name 11 en, Prize description en, pr11
13, pt3, Prize name 12 en, Prize description en, pr12
14, pt2, Prize name 13 en, Prize description en, pr13
15, pt5, Prize name 14 en, Prize description en, pr14
16, pt2, Prize name 15 en, Prize description en, pr15
17, pt5, Prize name 16 en, Prize description en, pr16
18, pt1, Prize name 17 en, Prize description en, pr17
19, pt5, Prize name 18 en, Prize description en, pr18
20, pt3, Prize name 19 en, Prize description en, pr19
21, pt3, Prize name 20 en, Prize description en, pr20
22, pt1, Prize name 21 en, Prize description en, pr21
23, pt5, Prize name 22 en, Prize description en, pr22
24, pt5, Prize name 23 en, Prize description en, pr23
25, pt3, Prize name 24 en, Prize description en, pr24
26, pt5, Prize name 25 en, Prize description en, pr25
27, pt4, Prize name 26 en, Prize description en, pr26
28, pt2, Prize name 27 en, Prize description en, pr27
29, pt2, Prize name 28 en, Prize description en, pr28
30, pt2, Prize name 29 en, Prize description en, pr29
31, pt2, Prize name 30 en, Prize description en, pr30
32, pt1, Prize name 31 en, Prize description en, pr31
33, pt4, Prize name 32 en, Prize description en, pr32
34, pt1, Prize name 33 en, Prize description en, pr33
35, pt1, Prize name 34 en, Prize description en, pr34
36, pt4, Prize name 35 en, Prize description en, pr35
37, pt4, Prize name 36 en, Prize description en, pr36
38, pt1, Prize name 37 en, Prize description en, pr37
39, pt1, Prize name 38 en, Prize description en, pr38
40, pt4, Prize name 39 en, Prize description en, pr39
41, pt2, Prize name 40 en, Prize description en, pr40
42, pt1, Prize name 41 en, Prize description en, pr41
43, pt1, Prize name 42 en, Prize description en, pr42
44, pt1, Prize name 43 en, Prize description en, pr43
45, pt2, Prize name 44 en, Prize description en, pr44
46, pt2, Prize name 45 en, Prize description en, pr45
47, pt4, Prize name 46 en, Prize description en, pr46
48, pt2, Prize name 47 en, Prize description en, pr47
49, pt1, Prize name 48 en, Prize description en, pr48
50, pt1, Prize name 49 en, Prize description en, pr49
51, pt4, Prize name 50 en, Prize description en, pr50
52, pt2, Prize name 51 en, Prize description en, pr51
53, pt1, Prize name 52 en, Prize description en, pr52
54, pt4, Prize name 53 en, Prize description en, pr53
55, pt2, Prize name 54 en, Prize description en, pr54
56, pt3, Prize name 55 en, Prize description en, pr55
57, pt5, Prize name 56 en, Prize description en, pr56
58, pt3, Prize name 57 en, Prize description en, pr57
59, pt3, Prize name 58 en, Prize description en, pr58
60, pt3, Prize name 59 en, Prize description en, pr59
61, pt4, Prize name 60 en, Prize description en, pr60
62, pt2, Prize name 61 en, Prize description en, pr61
63, pt2, Prize name 62 en, Prize description en, pr62
64, pt2, Prize name 63 en, Prize description en, pr63
65, pt3, Prize name 64 en, Prize description en, pr64
66, pt5, Prize name 65 en, Prize description en, pr65
67, pt1, Prize name 66 en, Prize description en, pr66
68, pt5, Prize name 67 en, Prize description en, pr67
69, pt3, Prize name 68 en, Prize description en, pr68
70, pt1, Prize name 69 en, Prize description en, pr69
71, pt2, Prize name 70 en, Prize description en, pr70
72, pt4, Prize name 71 en, Prize description en, pr71
73, pt2, Prize name 72 en, Prize description en, pr72
74, pt1, Prize name 73 en, Prize description en, pr73
75, pt1, Prize name 74 en, Prize description en, pr74
76, pt4, Prize name 75 en, Prize description en, pr75
77, pt1, Prize name 76 en, Prize description en, pr76
78, pt1, Prize name 77 en, Prize description en, pr77
79, pt1, Prize name 78 en, Prize description en, pr78
80, pt2, Prize name 79 en, Prize description en, pr79
81, pt4, Prize name 80 en, Prize description en, pr80
82, pt5, Prize name 81 en, Prize description en, pr81
83, pt2, Prize name 82 en, Prize description en, pr82
84, pt5, Prize name 83 en, Prize description en, pr83
85, pt1, Prize name 84 en, Prize description en, pr84
86, pt4, Prize name 85 en, Prize description en, pr85
87, pt4, Prize name 86 en, Prize description en, pr86
88, pt2, Prize name 87 en, Prize description en, pr87
89, pt3, Prize name 88 en, Prize description en, pr88
90, pt2, Prize name 89 en, Prize description en, pr89
91, pt5, Prize name 90 en, Prize description en, pr90
92, pt2, Prize name 91 en, Prize description en, pr91
93, pt2, Prize name 92 en, Prize description en, pr92
94, pt4, Prize name 93 en, Prize description en, pr93
95, pt3, Prize name 94 en, Prize description en, pr94
96, pt2, Prize name 95 en, Prize description en, pr95
97, pt5, Prize name 96 en, Prize description en, pr96
98, pt2, Prize name 97 en, Prize description en, pr97
99, pt3, Prize name 98 en, Prize description en, pr98
100, pt1, Prize name 99 en, Prize description en, pr99
